ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2672050;1252450;436.8669841;204.8831524;501;19;0;7.5623979;398.4360446;0.9686223;0.7160637;1;0;4.8366283;0;5.8777119;0;1.9372446;23.0946687;0.468982916669898;0;0.0173105274036203;0.912030570176475;0.00221720188353323;0.00163908861521129;0.00228902626290271;0;0.0110711692025985;0;0.0134542369048758;0;0.00443440376706645;0.0528643031873372
2672050;1252550;95.4146463;37.2405654;117;15;0;27.3120514;61.1174822;0;0;0;0.1924249;0;0;27.1196265;0;3.2774778;3.7076349;0.390302399517463;0;0.286245901013207;0.640546127560293;0;0;0;0.00201672287706211;0;0;0.284229178136145;0;0.0343498396430151;0.0388581317834849
2672050;1253350;13.3770066;4.4421478;17;10;0;3.1954936;2.4019694;0;3.1954936;0;0;5.4015782;0.8;0;0;0.9686223;0.609343099999998;0.332073380303184;0;0.238879571159066;0.179559558563722;0;0.238879571159066;0;0;0.403795734091961;0.0598041119303926;0;0;0.0724094955593429;0.0455515286955154
2672050;1253550;11.1255032;3.5;13;3;0;9.1255032;0;0;0;0;0;0;2;0;0;0;9.1255032;0.314592512094195;0;0.820232850231889;0;0;0;0;0;0;0.179767149768111;0;0;0;0.820232850231889
2672050;1257050;5.2092007;2;6;3;0;0.5514154;0.6577853;0;0.5514154;0;0;0;0;0;0;0;4;0.38393606143837;0;0.105854128446232;0.126273748677028;0;0.105854128446232;0;0;0;0;0;0;0;0.76787212287674
2672050;1261950;3.43211;1.8002347;6;3;0;1.9349748;0;0;0;0;1.9349748;0;0;0;0;0;1.4971352;0.524527098490433;0;0.56378577609692;0;0;0;0;0.56378577609692;0;0;0;0;0;0.43621422390308
2672150;1250750;6.6754864;0.3399991;8;4;0;1.0560628;0;0;1.0560628;0;0;4.6508013;0;0;0;0.9686223;0;0.0509324833618117;0;0.158200127559244;0;0;0.158200127559244;0;0;0.696698490764658;0;0;0;0.145101381676098;0
2672150;1251150;3.5715581;0.9182498;4;4;0;1.8868721;0;0;0.9686223;0;0.9182498;0;0.9686223;0;0;0.7160637;0;0.257100619474733;0;0.528305027433265;0;0;0.271204407958532;0;0.257100619474733;0;0.271204407958532;0;0;0.200490564608203;0
2672150;1251350;3.5344111;0.5578009;4;3;0;0;0;0;0;0.9917472;0;1.5426639;0;0;0;1;0;0.15782003966658;0;0;0;0;0;0.280597579608099;0;0.436469854907371;0;0;0;0.28293256548453;0
2672150;1252250;177.0312844;32.877914;189;6;144.4642861;7.6482336;18.8981335;7.6482336;0;144.4642861;0;1.6755596;3.5011782;0;0;0;0.843893399999985;0.185718101246516;0.816038174210976;0.0432027233261151;0.106750247923977;0.0432027233261151;0;0.816038174210976;0;0.00946476553948563;0.0197771722205276;0;0;0;0.00476691677891924
